esxjam7rib,172.17.11.37
esxjam8rib,172.17.11.143
esxjamcam1rib,172.17.11.246
esxjamcam1rib,172.17.11.246
esxjamcam2rib,172.17.11.247
esxjamcam2rib,172.17.11.247
esxpenn1rib,192.168.21.161
ftcjamrib,172.17.11.182
ftctestrib,172.17.11.183
gis440rib,172.17.11.184
gis445rib,172.17.11.195
hastusrib,172.17.26.80
hsfbladebrocc2a-ilo,172.17.26.85
hsfbladebrocc2b-ilo,172.17.26.86
hsfbladec1-ilo,172.17.26.64
hsfbladec1rib,172.17.26.64
hsfbladec2a-ilo,172.17.26.83
hsfbladec2arib,172.17.26.83
hsfbladec2b-ilo,172.17.26.84
hsfbladec2brib,172.17.26.84
hsfbladec2brocarib,172.17.26.85
hsfbladec2brocbrib,172.17.26.86
hsfbladec2rib,172.17.26.83
hsfbladec3brib,172.17.26.22
hsfbladec3rib,172.17.26.19
hsfbladec4brib,172.17.26.42
hsfbladec4rib,172.17.26.29
hsfccmrib,172.17.26.76
hsfcctrib,172.17.26.61
hsfivrwebrib,172.17.26.94
hsfspeechsrv1rib,172.17.26.58
hsfspeechsrv2rib,172.17.26.59
hsfspeechsrv3rib,172.17.26.60
hsfvxmlrib,172.17.26.62
hyperion-apprib,172.17.11.196
hyperion-arib,172.17.26.128
hyperion-erib,172.17.26.129
hyperion-essbaserib,172.17.11.197
hyperionatestrib,172.17.26.124
hyperionetestrib,172.17.26.125
intrahsfrib,172.17.26.102
intrajamrib,172.17.11.146
ivrhsfrib,172.17.26.122
ivrjamrib,172.17.11.147
jambladec1b-ilo,172.17.11.71
jambladec1rib,172.17.11.70
jambladec2rib,172.17.11.100
jambladec3brib,172.17.11.122
jambladec3rib,172.17.11.121
jambladec4rib,172.17.11.124
jamcblade4a-ilo,172.17.11.124
jamcblade4b-ilo,172.17.11.126
jamcctrib,172.17.11.61
jamcrrib,172.17.11.118
jamivrwebrib,172.17.11.91
jamqmrib,172.17.11.119
jamreloadrib,172.17.11.231
jamspeechsrv1rib,172.17.11.58
jamspeechsrv2rib,172.17.11.59
jamspeechsrv3rib,172.17.11.60
jamvxmlrib,172.17.11.67
kronhrib,172.17.26.126
kronjrib,172.17.11.185
kronosengtestrib,172.17.11.46
kronosmedevrib,172.17.11.53
kronosmetestrib,172.17.26.18
kronospilotrib,172.17.11.68
kronospilotrib,172.17.11.68
lenel-hmcrib,172.17.26.50
lenel-jamrib,172.17.11.10
lirr-013rib,172.17.11.240
lirr-040rib,172.17.11.90
lirr-219rib,172.17.93.44
lirr-301lrib,172.17.93.49
lirr-309rib,172.17.93.22
lirr-540rib,172.17.26.95
lirr-IDV500rib,172.17.26.36
lirr-ad008rib,172.17.11.205
lirr-ad021rib,172.17.11.123
lirr-ad022rib,172.17.11.129
lirr-ad023rib,172.17.11.141
lirr-ad301rib,172.17.93.52
lirr-ctx013rib,172.17.11.38
lirr-ctx014rib,172.17.11.39
lirr-ctx015rib,172.17.11.110
lirr-ctx015rib,172.17.11.110
lirr-ctx016rib,172.17.11.95
lirr-ctx016rib,172.17.11.95
lirr-ctx512rib,172.17.26.32
lirr-ctx513rib,172.17.26.45
lirr-ctx514rib,172.17.26.21
lirr-ctx515rib,172.17.26.10
lirr-ctx516rib,172.17.26.20
lirr-idv300lrib,172.17.93.46
lirr-idv300rib,172.17.93.35
lirr-lx001rib,172.17.11.216
lirr-patchmgmtrib,172.17.93.40
lirr-sqljam1rib,172.17.11.125
lirr-zcmhsfrib,172.17.26.98
lirr-zcmjamrib,172.17.11.120
lirrgridrib,172.17.11.148
lirrnorsrib,172.17.26.133
malonedevrib,172.17.11.150
malonerib,172.17.11.149
max6prodrib,172.17.11.151
maxdbqarib,172.17.26.130
maximo880rib,172.17.26.136
maximodrqarib,172.17.26.134
maximoprodrib,172.17.11.207
mdmrib,172.17.11.186
mdprib,172.17.11.187
mxeshsfrib,172.17.26.103
nasjam2rib,172.17.11.238
nasjamrib,172.17.11.237
netpmrib,172.17.11.142
notifylinkrib,172.17.26.19
ntnodea-drrib,172.17.26.11
ntnodeb-drrib,172.17.26.12
oidhsfprodrib,172.17.26.121
oidlirrrib,172.17.11.180
oim1rib,172.17.11.172
oim2rib,172.17.11.173
oim3rib,172.17.11.174
oracobrib,172.17.26.137
oradb2rib,172.17.11.236
oradb2rib,172.17.11.236
oradbrib,172.17.11.219
oradevrib,172.17.26.135
oradmcobrib,172.17.11.152
orionrib,172.17.11.20
ottohsfrib,172.17.26.104
ottojamrib,172.17.11.153
oviewrib,172.17.11.188
p8aeprodrib,172.17.11.154
p8hsfaerib,172.17.26.131
p8hsfcerib,172.17.26.105
p8hsfperib,172.17.26.106
p8index-ilo,172.17.26.91
p8jamcerib,172.17.11.155
p8jamperib,172.17.11.156
racmnr1rib,172.17.11.189
racmnr2rib,172.17.11.190
reload-ilo,172.17.11.69
rmanhsfrib,172.17.26.118
rmanjamrib,172.17.11.171
rpcsprod-ilo,172.17.11.54
rpcstest-ilo,172.17.26.63
sbilomjam,172.17.104.158
sboot-jamrib,172.17.11.47
signaldb-ilo,172.17.26.92
sputnikrib,172.17.11.157
stoogesrib,172.17.11.158
sunmgmtrib,172.17.11.159
tajreloadrib,172.17.45.8
tajreloadrib,172.17.45.8
tashsfapp1rib,172.17.26.107
tashsfapp2rib,172.17.26.108
tashsfapp3rib,172.17.26.109
tashsfapp4rib,172.17.26.110
tashsfapp5rib,172.17.26.111
tashsfdb1-ilo,172.17.26.37
tashsfdb2-ilo,172.17.26.35
tashsfrac1rib,172.17.26.65
tashsfrac2rib,172.17.26.66
tashsfrac3rib,172.17.26.67
tashsfrac4rib,172.17.26.68
tashsfweb1rib,172.17.26.112
tashsfweb2rib,172.17.26.114
tashsfweb3rib,172.17.26.115
tashsfweb4rib,172.17.26.116
tasjamapp1rib,172.17.11.160
tasjamapp2rib,172.17.11.161
tasjamapp3rib,172.17.11.162
tasjamapp4rib,172.17.11.163
tasjamapp5rib,172.17.11.164
tasjamdb-ilo,172.17.11.209
tasjamweb1rib,172.17.11.165
tasjamweb2rib,172.17.11.166
tasjamweb3rib,172.17.11.167
tasjamweb4rib,172.17.11.168
testoidrib,172.17.11.181
tivolihsfrib,172.17.26.127
tivolijamrib,172.17.11.191
tpss-sanrib,172.17.11.192
tsi1rib,172.17.11.175
tsi2rib,172.17.26.120
tssadrrib,172.17.26.23
tssarib,172.17.11.94
tssbdrrib,172.17.26.97
tssbrib,172.17.11.113
tsscob1rib,172.17.26.93
tsscob2rib,172.17.26.113
tsscrib,172.17.11.111
ttest1rib,172.17.11.176
ttest2rib,172.17.11.177
ttest3rib,172.17.11.178
ttest4rib,172.17.11.179
warehouse490rib,172.17.11.200
warehouserib,172.17.11.235
waysidejamrib,172.17.11.193
webt2krib,172.17.11.169
wmds-jamrib,172.17.11.44
wmdsrib,172.17.11.43
wx3hsfrib,172.17.26.117
wx3jamrib,172.17.11.170
x45hsfreloadrib,172.17.26.145
x45jamreloadrib,172.17.11.231
